a	/ei/	art.一(个);每一(个);(同类事物中)任一个
clear	/kliə/	a./ad.清晰的(地)vt.清除;使清楚vi.变清澈
clergy	/'klə:dʒi/	n./总称/牧师,神职人员
clerk	/klɑ:k,klə:k/	n.职员,办事员;店员
clever	/'klevə/	a.聪明的,伶俐的,机敏的,精巧的
click	/klik/	n.滴答声;vi.发出滴答声
client	/'klaiənt/	n.律师等的当事人,委托人;商店的顾客
cliff	/klif/	n.悬崖;峭壁
climate	/'klaimit/	n.气候;风气,社会思潮
climax	/'klaimæks/	n.顶点,高潮
climb	/klaim/	v./n.攀登,爬
cling	/klɪŋ/	v.(to)粘住;依附;坚持
clinic	/'klinik/	n.诊所
clip	/klip/	v.剪,修剪;钳,夹住n.夹,钳;回形针
cloak	/kləuk/	n.斗蓬,披风;掩饰,幌子vt.掩盖,掩饰
clock	/klɔk/	n.钟vt.记录(时间、速度等),为…计时
clockwise	/'klɔkwaiz/	a.顺时针方向
clone	/kləun/	n.无性繁殖,克隆;复制品v.克隆
close	/kləuz/	v./n.关;结束a./ad.近的(地);紧密的(地)
closet	/'klɔzit/	n.(壁)橱a.私下的vt.把…引进密室会谈
cloth	/klɔθ,klɔ:θ/	n.(一块)布,织物,衣料
clothe	/kləuð/	v.(给…)穿衣,供给…衣服
clothes	/kləuðz/	n.衣服(虽为复数,亦不可数)
clothing	/'kləuðiŋ/	n.服装,被褥
cloud	/klaud/	n.云(状物);遮暗物,阴影;一大群
cloudy	/'klaudi/	a.多云的,阴(天)的;混浊的,模糊的
club	/klʌb/	n.俱乐部,夜总会;社团;棍棒,球棒
clue	/klu:/	n.线索,暗示
clumsy	/'klʌmzi/	a.笨拙的,愚笨的
cluster	/'klʌstə/	n.丛,群,串v.群集,丛生
clutch	/klʌtʃ/	v.抓住,攫住,掌握n.离合器
coach	/kəutʃ/	n.长途公共汽车;教练vt.训练,指导,培训
coal	/kəul/	n.煤,煤块
coalition	/,kəuə'liʃən/	n.结合体,同盟;结合,联合
coarse	/kɔ:s/	a.粗糙的,粗劣的;粗鲁的,粗俗的
coast	/kəust/	n.海岸,海滨
coat	/kəut/	n.上衣,外套;表皮;层,覆盖物v.涂(盖)上
cocaine	/kə'kein/	n.可卡因,古柯碱（用作局部麻醉剂）
cock	/kɔk/	n.公鸡,雄鸡;龙头,开关
code	/kəud/	n.代码,代号,密码;法典,法规,规划
coffee	/'kɔfi/	n.咖啡(色)
cognitive	/'kɔɡnitiv/	a.认知的,认识能力的
coherent	/kəu'hiərənt/	a.一致的,协调的;(话语等)条理清楚的
cohesive	/kəu'hi:siv/	a.粘合性的,有结合力的
coil	/kɔil/	v.卷,盘绕n.(一)卷,(一)圈;线圈,绕组
coin	/kɔin/	n.硬币,货币v.铸造(硬币),创造(新词)
coincide	/,kəuin'said/	vi.同时发生;巧合;一致;相符;
coincidence	/kəu'insidəns/	n.巧合;同时发生,共同存在;符合,一致
coke	/kəʊk/	n.焦炭;可口可乐（COCA-COLA）的缩写
cold	/kəuld/	a.冷的,寒冷的;冷淡的n.冷,寒冷;伤风
collaborate	/kə'læbəreit/	vi.协作,合作;(与敌人)勾结
collapse	/kə'læps/	v./n.倒塌;崩溃;(价格)暴跌;倒闭,破产
collar	/'kɔlə/	n.衣领;环状物
colleague	/'kɔli:ɡ/	n.同事,同僚
collect	/kə'lekt/	v.收集,搜集;领取,接走;收(税等);聚集,堆积
collection	/kə'lekʃən/	n.收藏(品),收集(物)
collective	/kə'lektiv/	n.集体a.集体的,共同的
college	/'kɔlidʒ/	n.学院,高等专科学校,大学
collide	/kə'laid/	vi./with/互撞,碰撞;冲突,抵触
collision	/kə'liʒən/	n.碰撞;(利益,意见等的)冲突,抵触
colonel	/'kə:nəl/	n.(陆军)上校
colonial	/kə'ləunjəl/	a.殖民地的,关于殖民的n.殖民地居民
colony	/'kɔləni/	n.殖民地;侨民;聚居区;(动植物的)群体
color	/'kʌlə/	n.(=colour)颜色;颜料;肤色v.给…着色
column	/'kɔləm/	n.圆柱,柱状物;列;(报刊中的)专栏
comb	/kəum/	n.梳子v.梳(理)
combat	/'kɔmbæt,kəm'bæt/	v./n.战斗,搏斗,格斗
combination	/,kɔmbi'neiʃən/	n.结合,联合;化合;团体;组合数码
combine	/kəm'bain/	v.联合;结合;化合n.集团;联合企业
come	/kʌm/	v.来;出现于,产生;是,成为;开始,终于
comedy	/'kɔmidi/	n.喜剧;喜剧性事件
comfort	/'kʌmfət/	n.舒适,安逸;安慰,慰问v.安慰,使舒适
comfortable	/'kʌmfətəbl/	a.舒适的,舒服的;感到舒适的,安逸的
comic	/'kɔmik/	a.喜剧的,滑稽的n.连环漫画杂志;喜剧演员
command	/kə'mɑ:nd/	n./v.命令,指挥,控制n.掌握,运用能力
commemorate	/kə'meməreit/	vt.纪念,庆祝
commence	/kə'mens/	vt.开始vi.获得学位
commend	/kə'mend/	v.称赞,表扬：委托保管;推荐
comment	/'kɔment/	n.注释,评论,意见v.(on)注释,评论
commerce	/'kɔmə:s/	n.商业,贸易;交际,交往
commercial	/kə'mə:ʃəl/	a.商业的;商务的;可获利的n.广告节目
commission	/kə'miʃən/	n.委员会;委任,委托(书),代办;佣金,手续费
commit	/kə'mit/	v.把…交托给,提交;犯(错误),干(坏事)
committee	/kə'miti/	n.委员会,全体委员
commodity	/kə'mɔditi/	n.(pl.)日用品;商品;农/矿产品;有用之物
common	/'kɔmən/	a.普通的;共同的;一般的;n.公有地
commonplace	/'kɔmənpleis/	a.普通的,平庸的n.寻常的事物,平庸的东西
commonwealth	/'kɔmənwelθ/	n.共和国,联邦,共同体
communicate	/kə'mju:nikeit/	v.传达,传送;交流;通讯,通话
communication	/kə,mju:ni'keiʃən/	n.通讯,传达;(pl.)通讯系统;交通(工具)
communism	/'kɔmjunizəm/	n.共产主义
community	/kə'mju:niti/	n.同一地区的全体居民,社会,社区;共同体
commute	/kə'mju:t/	v.乘公交车上下班,乘车(船等)往返于两地
compact	/kəm'pækt/	a.紧密的,结实的;简明的v.使紧凑,压缩
companion	/kəm'pænjən/	n.同伴,共事者;伴侣
company	/'kɔmpəni/	n.公司;陪伴;宾客;连(队),(一)群,队,伙
comparable	/'kɔmpərəbl/	a.(with,to)可比较的,比得上的
comparative	/kəm'pærətiv/	a.比较的,相当的
compare	/kəm'pεə/	vt.(to,with)比较;(to)把…比作vi.相比
comparison	/kəm'pærisən/	n.比较,对比,比喻,比拟
compartment	/kəm'pɑ:tmənt/	n.卧车包房,(客车车厢内的)隔间;分隔的空间
compass	/'kʌmpəs/	n.罗盘,指南针;(pl.)圆规
compassion	/kəm'pæʃən/	n.同情;怜悯(for)
compatible	/kəm'pætəbl/	a.能和睦相处的,合得来的;兼容的
compel	/kəm'pel/	v.强迫,迫使
compensate	/'kɔmpenseit/	v.(for)补偿,赔偿
compensation	/,kɔmpen'seiʃən/	n.补偿(或赔偿)的款物;补偿,赔偿
compete	/kəm'pi:t/	vi.比赛;竞争;对抗
competent	/'kɔmpitənt/	a.有能力的,能胜任的;足够的
competition	/,kɔmpi'tiʃən/	n.竞争,比赛;角逐,较量;/总称/竞争者
competitive	/kəm'petitiv/	a.竞争的;好竞争的;(价格等的)有竞争力的
compile	/kəm'pail/	vt.编辑,编制,搜集
complain	/kəm'plein/	v.(about,of)抱怨;申诉
complaint	/kəm'pleint/	n.抱怨,诉苦,怨言,控告;疾病
complement	/'kɔmplimənt/	n.补足物,船上的定员;补语vt.补充,补足
complete	/kəm'pli:t/	a.完全的,圆满的v.完成,结束,使完满
complex	/'kɔmpleks/	a.复杂的;合成的,综合的n.联合体
complicate	/'kɔmplikeit/	v.使..复杂;使..难懂;使（疾病等）恶化;
complicated	/'kɔmplikeitid/	a.错综复杂的,麻烦的,难解的
complication	/,kɔmpli'keiʃən/	n.复杂,纠纷;并发症
compliment	/'kɔmplimənt/	n.(pl.)问候,致意n./v.称赞,恭维
comply	/kəm'plai/	v.(with)遵照,照做,应允;顺从,服从
component	/kəm'pəunənt/	n.组成部分,成分,元件a.组成的,合成的
compose	/kəm'pəuz/	v.组成,构成;(of)由…组成;创作(诗歌等)
composite	/'kɔmpəzit/	a.混合成的,综合成的n.合成物,复合材料
composition	/,kɔmpə'ziʃən/	n.作品,作文,乐曲;作曲;结构,组成,成分
compound	/'kɔmpaund/	n.混合物,化合物a.混合的,化合的;vt.混合
comprehend	/,kɔmpri'hend/	vt.理解,领会;包含,包括
comprehension	/,kɔmpri'henʃən/	a.理解(力),领悟;包含,包含力
comprehensive	/,kɔmpri'hensiv/	a.内容广泛的,总括性的,综合的
compress	/kəm'pres,'kɔmpres/	vt.压紧,压缩;(把思想、文字等)浓缩
comprise	/kəm'praiz/	vt.包含,包括,由...组成;构成,组成
compromise	/'kɔmprəmaiz/	n.妥协,折衷vi.妥协vt.危及,放弃(原则等)
compulsory	/kəm'pʌlsəri/	a.必须做的,强制性的,(课程)必修的
compute	/kəm'pju:t/	v./n.计算,估计
computer	/kəm'pju:tə/	n.计算机,电脑;计算者
comrade	/'kɔmrid/	n.同志,同事,同伴,朋友
conceal	/kən'si:l/	v.隐藏,隐瞒,隐蔽
concede	/kən'si:d/	vt.承认;容许;(比赛结束前)认输;退让
conceive	/kən'si:v/	v.(of)设想,构思,想象;以为;怀胎,怀有
concentrate	/'kɔnsəntreit/	v.(on)集中,专心;浓缩n.浓缩物
concentration	/,kɔnsən'treiʃən/	n.专心,专注;集中,集结;浓度
concept	/'kɔnsept/	n.概念,观念,设想
concern	/kən'sə:n/	v.涉及,关系到v./n.关心n.(利害)关系
concerning	/kən'sə:niŋ/	prep.关于,论及
concert	/kən'sə:t,'kɔnsə:t/	n.音乐会,演奏会;一齐,一致
concession	/kən'seʃən/	n.让步,妥协;特许(权);
concise	/kən'sais/	a.简明的,简洁的
conclude	/kən'klu:d/	v.结束,终止;断定,下结论;缔结,议定
conclusion	/kən'klu:ʒən/	n.结论,推论;结尾;缔结,议定
concrete	/kən'kri:t,'kɔnkri:t/	a.具体的,实质性的n.混凝土v.用混凝土修筑
condemn	/kən'dem/	v.谴责,指责;判刑,宣告有罪
condense	/kən'dens/	v.(使)冷凝,(使)凝结;浓缩,压缩,简缩
condition	/kən'diʃən/	n.条件,状况,环境vt.决定;支配;训练
conduct	/'kɔndʌkt,kən'dʌkt/	n.行为,品行v.引导;管理;指挥(乐队);传导
conductor	/kən'dʌktə/	n.管理者;(汽车)售票员;领队,指挥;导体
confer	/kən'fə:/	v.商讨;授予,颁给(勋衔,学位等)
conference	/'kɔnfərəns/	n.(正式)会议;讨论,商谈
confess	/kən'fes/	v.供认,承认,坦白,忏悔
confidence	/'kɔnfidəns/	n.(in)信任;信心,自信;秘密,机密
confident	/'kɔnfidənt/	n.(of,in)确信的,自信的
